source,target,weight,shared_episode_count,association_strength,display_width
Horst Achtfaden,Sheila,0.09091,1,0.44721,0.2386
Chiclitz,Gerhardt von Göll,0.09077,3,0.3873,0.2384
Chiclitz,Weissmann / Blicero,0.09077,3,0.36927,0.2384
Greta Erdmann,Katje Borgesius,0.09065,4,0.26491,0.2383
Katje Borgesius,Max Schlepzig,0.09041,4,0.27669,0.2379
Frau Gnahb,Osbie Feel,0.08931,2,0.4,0.2365
Broderick Slothrop,Tyrone Slothrop,0.08924,5,0.32969,0.2364
Marvy,St. John Bladdery,0.08917,1,0.28868,0.2363
Seaman Bodine,St. John Bladdery,0.08917,1,0.33333,0.2363
St. John Bladdery,Tyrone Slothrop,0.08917,1,0.14744,0.2363
Enzian,Osbie Feel,0.08905,2,0.1865,0.2361
Edwin Treacle,Jessica Swanlake,0.08874,3,0.40452,0.2357
Gerhardt von Göll,Gottfried,0.08853,3,0.25355,0.2355
Mickey Rooney,Tyrone Slothrop,0.08791,2,0.20851,0.2346
Clive Mossmoon,Stephen Dodson-Truck,0.0874,3,0.43301,0.2339
Roger Mexico,Weissmann / Blicero,0.08596,5,0.25126,0.232
Dr. Rollo Groast,Tyrone Slothrop,0.08562,3,0.18058,0.2316
Gustav,Roger Mexico,0.08557,2,0.21082,0.2315
Geli Tripping,Laszlo Jamf,0.08525,3,0.22613,0.2311
Lord Blatherard Osmo,Osbie Feel,0.08511,1,0.44721,0.2309
Lord Blatherard Osmo,Pirate Prentice,0.08511,1,0.2357,0.2309
Lord Blatherard Osmo,Teddy Bloat,0.08511,1,0.33333,0.2309
Osbie Feel,Teddy Bloat,0.08511,1,0.14907,0.2309
Marvy,Schnorp,0.08511,1,0.28868,0.2309
Kurt Mondaugen,Weissmann / Blicero,0.08496,2,0.19069,0.2307
Enzian,Greta Erdmann,0.08496,6,0.36116,0.2307
Jessica Swanlake,Seaman Bodine,0.08491,1,0.1005,0.2306
Andreas Orukambe,Katje Borgesius,0.0849,3,0.24333,0.2306
Peter Sachsa,Stephen Dodson-Truck,0.08485,1,0.14434,0.2305
Carroll Eventyr,Katje Borgesius,0.08485,2,0.18732,0.2305
Carroll Eventyr,Stephen Dodson-Truck,0.08485,2,0.33333,0.2305
Enzian,Otto,0.0842,2,0.24077,0.2296
Gustav,Laszlo Jamf,0.08382,3,0.28604,0.2291
Blodgett Waxwing,Gerhardt von Göll,0.08346,2,0.16903,0.2286
Blodgett Waxwing,Seaman Bodine,0.08346,2,0.25198,0.2286
Myron Grunton,Roger Mexico,0.08337,4,0.42164,0.2285
Crutchfield,Malcolm / Red (Roseland shoeshine boy),0.08333,1,0.70711,0.2284
Malcolm / Red (Roseland shoeshine boy),Whappo,0.08333,1,0.5,0.2284
Dr. Rollo Groast,Nora Dodson-Truck,0.08333,1,0.2357,0.2284
Laszlo Jamf,Procalowski,0.08333,1,0.12309,0.2284
Margherita Erdmann,Vaslav,0.08333,1,0.18257,0.2284
Procalowski,Vaslav,0.08333,1,0.33333,0.2284
Vaslav,Weissmann / Blicero,0.08333,1,0.12309,0.2284
Pirate Prentice,Webley Silvernail,0.0833,5,0.48113,0.2284
Géza Rózsavölgyi,Pirate Prentice,0.08329,4,0.42164,0.2284
Pirate Prentice,Roland,0.08312,2,0.2357,0.2281
Tyrone Slothrop,Villard Dumpster,0.08252,2,0.20851,0.2273
Jessica Swanlake,Roland,0.08106,2,0.30151,0.2253
Roger Mexico,Roland,0.08106,2,0.2357,0.2253
Frans van der Groov,Katje Borgesius,0.08095,3,0.39736,0.2252
Frans van der Groov,Pirate Prentice,0.08095,3,0.40825,0.2252
Gottfried,Seaman Bodine,0.08081,1,0.12599,0.225
Richard M. Zhlubb,Seaman Bodine,0.08081,1,0.33333,0.225
Gottfried,Max Schlepzig,0.08075,3,0.34188,0.2249
Generaldirektor Smaragd,Richard Hirsch,0.07937,1,0.70711,0.2229
Ilse Pökler,Richard Hirsch,0.07937,1,0.57735,0.2229
Leni Pökler,Richard Hirsch,0.07937,1,0.44721,0.2229
Peter Sachsa,Richard Hirsch,0.07937,1,0.35355,0.2229
Gustav,Katje Borgesius,0.07895,1,0.1026,0.2223
Gustav,Pirate Prentice,0.07895,1,0.10541,0.2223
Allen Lamplighter,Dr. Kevin Spectro,0.07882,2,0.57735,0.2222
Allen Lamplighter,Dromond,0.07882,2,0.8165,0.2222
Allen Lamplighter,Ned Pointsman,0.07882,2,0.2582,0.2222
Allen Lamplighter,Thomas Gwenhidwy,0.07882,2,0.5164,0.2222
Dr. Kevin Spectro,Dromond,0.07882,2,0.70711,0.2222
Dromond,Ned Pointsman,0.07882,2,0.31623,0.2222
Dromond,Roger Mexico,0.07882,2,0.33333,0.2222
Dromond,Thomas Gwenhidwy,0.07882,2,0.63246,0.2222
Osbie Feel,Otto,0.07874,1,0.2582,0.2221
Carroll Eventyr,Jessica Swanlake,0.07866,3,0.36927,0.2219
Andreas Orukambe,Chiclitz,0.07812,1,0.20412,0.2212
Franz Pökler,Thanatz,0.07763,2,0.19245,0.2205
Ernest Pudding,Thomas Gwenhidwy,0.07706,4,0.56569,0.2197
Mickey Rooney,Seaman Bodine,0.07692,1,0.2357,0.2195
